id,date,amount,description,category,recur
1,2020-09-26,2000.0,salary,INCOME,1
1,2020-10-10,2000.0,salary,INCOME,1
1,2020-10-24,2000.0,salary,INCOME,1
1,2020-11-07,2000.0,salary,INCOME,1
1,2020-11-21,2000.0,salary,INCOME,1
1,2020-12-05,2000.0,salary,INCOME,1
1,2020-12-19,2000.0,salary,INCOME,1
1,2021-01-02,2000.0,salary,INCOME,1
1,2021-01-16,2000.0,salary,INCOME,1
1,2021-01-30,2000.0,salary,INCOME,1
1,2021-02-13,2000.0,salary,INCOME,1
1,2021-02-27,2000.0,salary,INCOME,1
1,2021-03-13,2000.0,salary,INCOME,1
1,2021-03-27,2000.0,salary,INCOME,1
1,2021-04-10,2000.0,salary,INCOME,1
1,2021-04-24,2000.0,salary,INCOME,1
1,2021-05-08,2000.0,salary,INCOME,1
1,2021-05-22,2000.0,salary,INCOME,1
1,2021-06-05,2000.0,salary,INCOME,1
1,2021-06-19,2000.0,salary,INCOME,1
1,2021-07-03,2000.0,salary,INCOME,1
1,2021-07-17,2000.0,salary,INCOME,1
1,2021-07-31,2000.0,salary,INCOME,1
1,2021-08-14,2000.0,salary,INCOME,1
1,2021-08-28,2000.0,salary,INCOME,1
1,2021-09-11,2000.0,salary,INCOME,1
1,2021-09-25,2000.0,salary,INCOME,1
1,2021-10-09,2000.0,salary,INCOME,1
1,2021-10-23,2000.0,salary,INCOME,1
1,2021-11-06,2000.0,salary,INCOME,1
1,2021-11-20,2000.0,salary,INCOME,1
1,2021-12-04,2000.0,salary,INCOME,1
1,2021-12-18,2000.0,salary,INCOME,1
1,2022-01-01,2000.0,salary,INCOME,1
1,2022-01-15,2000.0,salary,INCOME,1
1,2022-01-29,2000.0,salary,INCOME,1
1,2022-02-12,2000.0,salary,INCOME,1
1,2022-02-26,2000.0,salary,INCOME,1
1,2022-03-12,2000.0,salary,INCOME,1
1,2022-03-26,2000.0,salary,INCOME,1
1,2022-04-09,2000.0,salary,INCOME,1
1,2022-04-23,2000.0,salary,INCOME,1
1,2022-05-07,2000.0,salary,INCOME,1
1,2022-05-21,2000.0,salary,INCOME,1
1,2022-06-04,2000.0,salary,INCOME,1
1,2022-06-18,2000.0,salary,INCOME,1
1,2022-07-02,2000.0,salary,INCOME,1
1,2022-07-16,2000.0,salary,INCOME,1
1,2022-07-30,2000.0,salary,INCOME,1
1,2022-08-13,2000.0,salary,INCOME,1
1,2022-08-27,2000.0,salary,INCOME,1
1,2022-09-10,2000.0,salary,INCOME,1
1,2022-09-24,2000.0,salary,INCOME,1
1,2022-10-08,2000.0,salary,INCOME,1
1,2022-10-22,2000.0,salary,INCOME,1
1,2022-11-05,2000.0,salary,INCOME,1
1,2022-11-19,2000.0,salary,INCOME,1
1,2022-12-03,2000.0,salary,INCOME,1
1,2022-12-17,2000.0,salary,INCOME,1
1,2022-12-31,2000.0,salary,INCOME,1
1,2023-01-14,2000.0,salary,INCOME,1
1,2023-01-28,2000.0,salary,INCOME,1
1,2023-02-11,2000.0,salary,INCOME,1
1,2023-02-25,2000.0,salary,INCOME,1
1,2023-03-11,2000.0,salary,INCOME,1
1,2023-03-25,2000.0,salary,INCOME,1
1,2023-04-08,2000.0,salary,INCOME,1
1,2023-04-22,2000.0,salary,INCOME,1
1,2023-05-06,2000.0,salary,INCOME,1
1,2023-05-20,2000.0,salary,INCOME,1
1,2023-06-03,2000.0,salary,INCOME,1
1,2023-06-17,2000.0,salary,INCOME,1
1,2023-07-01,2000.0,salary,INCOME,1
1,2023-07-15,2000.0,salary,INCOME,1
1,2023-07-29,2000.0,salary,INCOME,1
1,2023-08-12,2000.0,salary,INCOME,1
1,2023-08-26,2000.0,salary,INCOME,1
1,2023-09-09,2000.0,salary,INCOME,1
1,2023-09-23,2000.0,salary,INCOME,1
1,2023-10-07,2000.0,salary,INCOME,1
1,2023-10-21,2000.0,salary,INCOME,1
1,2023-11-04,2000.0,salary,INCOME,1
1,2023-11-18,2000.0,salary,INCOME,1
1,2023-12-02,2000.0,salary,INCOME,1
1,2023-12-16,2000.0,salary,INCOME,1
1,2023-12-30,2000.0,salary,INCOME,1
1,2024-01-13,2000.0,salary,INCOME,1
